participant,Initial_RT(ms),RT_mean(ms),Accuracy_mean,modality,target_load
22,1381.7,1075.4,0.933333333333333,Phone,Multiple
37,1138.5,652.2,1.0,Phone,Multiple
35,1668.2,1222.1,0.95,Phone,Multiple
32,1684.3,1032.6,0.9,Phone,Multiple
29,1555.11111111111,880.333333333333,0.9,Phone,Multiple
36,2405.9,888.7,1.0,Phone,Multiple
33,1626.7,945.7,0.95,Phone,Multiple
34,2219.3,1175.2,1.0,Phone,Multiple
27,2308.44444444444,888.0,0.9,Phone,Multiple
28,1432.0,1115.2,0.95,Phone,Multiple
31,1435.0,628.666666666667,0.9,Phone,Multiple
23,1935.6,995.8,0.933333333333333,Phone,Multiple
26,2163.11111111111,904.333333333333,0.9,Phone,Multiple
24,3099.11111111111,1214.11111111111,0.85,Phone,Multiple
30,1400.8,998.6,1.0,Phone,Multiple
25,1176.7,760.6,1.0,Phone,Multiple
1,3107.333333,3107.333333,1.0,Phone,Single
2,3977.733333,3977.733333,0.96,Phone,Single
3,2439.533333,2439.533333,0.96,Phone,Single
4,3026.733333,3026.733333,0.96,Phone,Single
5,4682.6,4682.6,0.88,Phone,Single
6,3091.235294,3091.235294,0.93,Phone,Single
7,3064.466667,3064.466667,1.0,Phone,Single
8,2922.666667,2922.666667,0.92,Phone,Single
9,2686.2,2686.2,1.0,Phone,Single
10,2967.6,2967.6,1.0,Phone,Single
11,2604.333333,2604.333333,1.0,Phone,Single
12,2649.333333,2649.333333,1.0,Phone,Single
13,2900.133333,2900.133333,1.0,Phone,Single
14,3793.866667,3793.866667,1.0,Phone,Single
15,2257.933333,2257.933333,0.96,Phone,Single
16,2696.933333,2696.933333,1.0,Phone,Single
17,2426.733333,2426.733333,1.0,Phone,Single
18,2791.2,2791.2,0.96,Phone,Single
19,2887.466667,2887.466667,1.0,Phone,Single
20,3487.933333,3487.933333,1.0,Phone,Single
21,3968.2,3968.2,1.0,Phone,Single
10,1344.3538785714477,1344.3538785714477,1.0,Lab,Single
11,1431.5763866666505,1431.5763866666505,1.0,Lab,Single
12,1507.9863200000011,1507.9863200000011,1.0,Lab,Single
13,1391.2566666665953,1391.2566666665953,1.0,Lab,Single
14,1640.1328133333325,1640.1328133333325,1.0,Lab,Single
15,1338.137439999999,1338.137439999999,1.0,Lab,Single
16,1766.1829400000138,1766.1829400000138,1.0,Lab,Single
17,1160.4643666668078,1160.4643666668078,1.0,Lab,Single
18,1542.302046666373,1542.302046666373,1.0,Lab,Single
19,1649.9751800006682,1649.9751800006682,1.0,Lab,Single
1,2331.349806667034,2331.349806667034,1.0,Lab,Single
20,1492.9917733335362,1492.9917733335362,1.0,Lab,Single
21,1547.1590666663058,1547.1590666663058,1.0,Lab,Single
2,1575.1605142857964,1575.1605142857964,1.0,Lab,Single
3,1762.399106666756,1762.399106666756,1.0,Lab,Single
4,1452.9313866655382,1452.9313866655382,1.0,Lab,Single
5,1540.2571933329457,1540.2571933329457,1.0,Lab,Single
6,1602.0891066684271,1602.0891066684271,1.0,Lab,Single
7,1510.770193333322,1510.770193333322,1.0,Lab,Single
8,1547.0682333333418,1547.0682333333418,1.0,Lab,Single
9,1363.1837733333366,1363.1837733333366,1.0,Lab,Single
22,1330.599113333339,1176.346958666663,1.0,Lab,Multiple
23,1498.6478333333405,1221.3411823333406,1.0,Lab,Multiple
24,1997.2415266666453,1429.746317333326,1.0,Lab,Multiple
25,1338.801493333449,1279.4298200000153,1.0,Lab,Multiple
26,1780.876733333207,1332.3168173333397,1.0,Lab,Multiple
27,1373.8547133333325,1312.772286333332,1.0,Lab,Multiple
28,1609.014653333331,1224.360386666668,1.0,Lab,Multiple
29,1268.689766666679,1160.0773256666712,1.0,Lab,Multiple
30,2103.004199999972,1474.3948866666492,1.0,Lab,Multiple
31,1497.8926600000098,1175.464818666666,1.0,Lab,Multiple
32,1556.2989399999994,1355.3527786666682,1.0,Lab,Multiple
33,1430.43959333332,1294.5689792857142,1.0,Lab,Multiple
34,1463.7053466666357,1278.5308960000004,1.0,Lab,Multiple
35,1760.485353333327,1329.8163066666712,1.0,Lab,Multiple
36,1542.5416466666811,1418.6187522222242,1.0,Lab,Multiple
37,2128.537446666648,2087.3767087618976,1.0,Lab,Multiple
