participant,Initial_RT(ms),RT_mean(ms),Accuracy_mean,modality,target_load
22,1381.7,1075.4,0.933333333333333,Phone,Multiple
37,1138.5,652.2,1.0,Phone,Multiple
35,1668.2,1222.1,0.95,Phone,Multiple
32,1684.3,1032.6,0.9,Phone,Multiple
29,1555.11111111111,880.333333333333,0.9,Phone,Multiple
36,2405.9,888.7,1.0,Phone,Multiple
33,1626.7,945.7,0.95,Phone,Multiple
34,2219.3,1175.2,1.0,Phone,Multiple
27,2308.44444444444,888.0,0.9,Phone,Multiple
28,1432.0,1115.2,0.95,Phone,Multiple
31,1435.0,628.666666666667,0.9,Phone,Multiple
23,1935.6,995.8,0.933333333333333,Phone,Multiple
26,2163.11111111111,904.333333333333,0.9,Phone,Multiple
24,3099.11111111111,1214.11111111111,0.85,Phone,Multiple
30,1400.8,998.6,1.0,Phone,Multiple
25,1176.7,760.6,1.0,Phone,Multiple
1,3107.333333,3107.333333,1.0,Phone,Single
2,3977.733333,3977.733333,0.96,Phone,Single
3,2439.533333,2439.533333,0.96,Phone,Single
4,3026.733333,3026.733333,0.96,Phone,Single
5,4682.6,4682.6,0.88,Phone,Single
6,3091.235294,3091.235294,0.93,Phone,Single
7,3064.466667,3064.466667,1.0,Phone,Single
8,2922.666667,2922.666667,0.92,Phone,Single
9,2686.2,2686.2,1.0,Phone,Single
10,2967.6,2967.6,1.0,Phone,Single
11,2604.333333,2604.333333,1.0,Phone,Single
12,2649.333333,2649.333333,1.0,Phone,Single
13,2900.133333,2900.133333,1.0,Phone,Single
14,3793.866667,3793.866667,1.0,Phone,Single
15,2257.933333,2257.933333,0.96,Phone,Single
16,2696.933333,2696.933333,1.0,Phone,Single
17,2426.733333,2426.733333,1.0,Phone,Single
18,2791.2,2791.2,0.96,Phone,Single
19,2887.466667,2887.466667,1.0,Phone,Single
20,3487.933333,3487.933333,1.0,Phone,Single
21,3968.2,3968.2,1.0,Phone,Single
