participant,target_load,modality,RT_mean(ms),Accuracy_mean,Initial_RT
1,Single,Phone,3107.333333,1,3107.333333
2,Single,Phone,3977.733333,0.96,3977.733333
3,Single,Phone,2439.533333,0.96,2439.533333
4,Single,Phone,3026.733333,0.96,3026.733333
5,Single,Phone,4682.6,0.88,4682.6
6,Single,Phone,3091.235294,0.93,3091.235294
7,Single,Phone,3064.466667,1,3064.466667
8,Single,Phone,2922.666667,0.92,2922.666667
9,Single,Phone,2686.2,1,2686.2
10,Single,Phone,2967.6,1,2967.6
11,Single,Phone,2604.333333,1,2604.333333
12,Single,Phone,2649.333333,1,2649.333333
13,Single,Phone,2900.133333,1,2900.133333
14,Single,Phone,3793.866667,1,3793.866667
15,Single,Phone,2257.933333,0.96,2257.933333
16,Single,Phone,2696.933333,1,2696.933333
17,Single,Phone,2426.733333,1,2426.733333
18,Single,Phone,2791.2,0.96,2791.2
19,Single,Phone,2887.466667,1,2887.466667
20,Single,Phone,3487.933333,1,3487.933333
21,Single,Phone,3968.2,1,3968.2
