Level,mean_rt,std_rt,n,se
1,2729.75,3059.5150269282876,16,764.8787567320719
2,1178.8125,173.05845592361754,16,43.264613980904386
3,1586.5,449.08054214509605,16,112.27013553627401
4,2073.1875,1219.9641097862948,16,304.9910274465737
5,2017.125,988.8469295093149,16,247.21173237732873
6,2364.125,2774.098096679351,16,693.5245241698377
7,1491.875,368.37062405499523,16,92.09265601374881
8,1488.0,264.1373380143999,16,66.03433450359998
9,1341.8125,225.67387051524895,16,56.41846762881224
10,2427.3125,949.2090545115269,16,237.30226362788173
