Level,mean_rt,std_rt,n,se
1,2729.75,3059.5150269282876,16,764.8787567320719
2,1178.8125,173.05845592361754,16,43.264613980904386
3,1586.5,449.08054214509605,16,112.27013553627401
4,2002.875,1190.0597113870658,16,297.51492784676645
5,2017.125,988.8469295093149,16,247.21173237732873
6,2364.125,2774.098096679351,16,693.5245241698377
7,1481.9375,369.99017441908734,16,92.49754360477183
8,1488.0,264.1373380143999,16,66.03433450359998
9,1341.8125,225.67387051524895,16,56.41846762881224
10,1517.1818181818182,381.09416636359526,11,114.90421451102955
