Level,mean_rt,std_rt,n,se
1,1626.5238095238096,779.5118099841477,21,170.1034225887805
2,1157.047619047619,144.6334941120058,21,31.56161594258173
3,1886.8181818181818,1028.5022229002827,22,219.277410695678
4,2642.8076923076924,1896.1592342254544,26,371.86742062287476
5,1857.7619047619048,511.3218071588484,21,111.57956598985885
6,1972.4285714285713,712.6531113682569,21,155.51365843289673
7,3264.0,2063.4982548136663,22,439.9393061248256
8,1726.2380952380952,400.72944797729855,21,87.44633469303996
9,1790.047619047619,710.9877267710376,21,155.15024171966004
10,4265.347826086957,2664.04314407965,23,555.4913952105355
11,3720.217391304348,3660.91399363256,23,763.3533362956389
12,3396.5238095238096,2076.269939556213,21,453.0792457703683
13,3749.3076923076924,2936.3471561684355,26,575.8650556917513
14,4367.619047619048,2748.043094207048,21,599.6721662954504
15,6076.181818181818,3236.6666809332096,22,690.0596549792963
