Level,mean_rt,std_rt,n,se
1,1626.5238095238096,779.5118099841477,21,170.1034225887805
2,1157.047619047619,144.6334941120058,21,31.56161594258173
3,1840.142857142857,1029.7486725271503,21,224.70958279218857
4,2998.0476190476193,1818.8952822026472,21,396.91549104246167
5,1857.7619047619048,511.3218071588484,21,111.57956598985885
6,1972.4285714285713,712.6531113682569,21,155.51365843289673
7,3271.190476190476,2114.1740614019373,21,461.3506032707902
8,1726.2380952380952,400.72944797729855,21,87.44633469303996
9,1790.047619047619,710.9877267710376,21,155.15024171966004
10,4238.142857142857,2716.4095288765698,21,592.7691564083912
11,3460.5238095238096,3125.986622157037,21,682.1462055930449
12,3396.5238095238096,2076.269939556213,21,453.0792457703683
13,3712.1428571428573,3182.8520745663673,21,694.5552646451242
14,4367.619047619048,2748.043094207048,21,599.6721662954504
15,5860.571428571428,3150.546406124318,21,687.5055898350367
