Level,mean_rt,std_rt,n,se
1,1626.5238095238096,779.5118099841477,21,170.1034225887805
2,1157.047619047619,144.6334941120058,21,31.56161594258173
3,1840.142857142857,1029.7486725271503,21,224.70958279218857
4,3132.714285714286,1685.6362342705245,21,367.83598274785686
5,1857.7619047619048,511.3218071588484,21,111.57956598985885
6,1972.4285714285713,712.6531113682569,21,155.51365843289673
7,3419.4285714285716,1978.0989755679207,21,431.6565851264095
8,1726.2380952380952,400.72944797729855,21,87.44633469303996
9,1790.047619047619,710.9877267710376,21,155.15024171966004
10,4671.571428571428,2411.2757530284375,21,526.1835076030695
11,4074.5238095238096,3636.8542673448937,21,793.6266653157685
12,3396.5238095238096,2076.269939556213,21,453.0792457703683
13,4642.0,2535.073312549363,21,553.1983498580905
14,4367.619047619048,2748.043094207048,21,599.6721662954504
15,6365.523809523809,3010.964589945349,21,657.046340393154
